text,aspect,sentiment,score
bintang dulu jadi tanya aplikasi pas baru mau download tulis aplikasi rupa mungkin tidak fungsi perangkat mohon cek yah,aplikasi,netral,3
grab knp jahat sama cewe aku jangan lah kayak gitu,lainnya,negatif,1
babi aplikasi grab merchant mu susah dipake,aplikasi,negatif,1
bagus aplikasi bantu semua orng,aplikasi,positif,5
kemudi apk sering tidak gerak tidak respon dichat,layanan,netral,3
nice,lainnya,positif,5
mantabbbb,lainnya,positif,5
bagus,lainnya,positif,5
overall bagus cuman kalau daerah pinggir suka nge lag apknya,aplikasi,positif,3
sgt cepat antar sukses selalu grab,lainnya,positif,5
awal bakal menit lama lama jadi menit tanya tidak jawab jawab ngeselin tau,lainnya,negatif,1
tetbaik,lainnya,positif,5
guna antar jemput online,lainnya,positif,5
masa aku sen gojek mapsnya tidak liat antara,lainnya,netral,3
grab tipu driver presiden ri harus bagi driver hitung tarif dasar minimum pernah tetap perintah rp jadi order jarak minimum km bawah nominal bagi driver rp rp bukan rp sekarang arti kali potong potong rp potong rp per order potong order hemat reaksi keras driver perintah,harga,negatif,1
bagus tidak usah cape pergi tempat makan langsung grab aja,lainnya,positif,4
mantap,lainnya,positif,5
okay,lainnya,positif,5
pelit promo banget beda belah,lainnya,negatif,1
mntap,lainnya,positif,5
aplikasi banyak bantu cs cepat tanggap sangat ramah,layanan,positif,5
nyaman jalan,keamanan,positif,5
solusi baik,lainnya,positif,5
aplikasi guna banget kalau tengah malam laper pakek aplikasi terus promo sangat bantu uang tidak cukup,aplikasi,positif,5
motor gojek mobil gojek,lainnya,positif,5
yaa pesan motor dapat daerah jauh aja situ trs titik kalau d lihat jrak memang dekat tpi putar nyebrang lewat jembata kendara sebrang sungai jarak jemput malah lbih jauh dri jarak tuju sering kena cancel kemudi,lainnya,netral,3
baik,lainnya,positif,5
kecewa banget pokok,lainnya,negatif,1
good apk,aplikasi,positif,5
sangat bantu,lainnya,positif,4
antar lebih cepat jam tentu,lainnya,positif,5
layan cepat,layanan,positif,5
sangat sangat baik,lainnya,positif,5
urusin mitra mitra lo bener woi sekarang nyari driver susah sekali dapet udah nunggu lama driver enak cancel lo pikir user lo semua anggur tidak peduli ama waktu kalau tidak jaga hubung mitra user eos aja sono,driver,negatif,2
mohon riwayat beri terang nomor plat kendara nama driver jadi tidak tuju asal tuju akhir harga tanggal,harga,positif,4
aplikasi grab sangat bantu sangat manfaat semua masyarakat indonesia guna,aplikasi,positif,5
alhamdulillah ramah abang,lainnya,positif,5
oke mantap,lainnya,positif,5
jangan buat double order grabfood jadi tunggu terlalu lama buat orang customer marah marah sering beri bintang,lainnya,negatif,1
jelek banget susah buka aplikasi kadang,aplikasi,negatif,1
lumayan bagus,lainnya,positif,3
good,lainnya,positif,5
salah satu driver grab luxury kendara maxus nama madang kuswara tidak merecomendasikanya karna sikap arogan tidak layak jadi driver luxury case sangat kesal sekali driver sebut pihak grab segera tindak lanjut driver sebut,driver,negatif,1
aplikasi maxim nabire sangat buruk teman nabire jangan mau guna jasa aplikasi maxim driver suka tolak order suka ngechat naikin harga order kali lipat baru mau terima order aplikasi sama driver minta baru mau jemput driver maxim nabire terlalu parah mohon teman jangan mau naik naik maxim nabire,harga,negatif,5
ngambil potong gede driver kecil driver cuma dpt potong persen driver jadi driver rb terus kalau order degan argo tiap order rb jadi rb kali trip rb potong persen terus potong lag kalau ikut hemat rb per order parah makin kesini makin parah terus driver dpt apa motor punya sendiri oli ban ganti sendiri bayar stnk bayar pajak sendiri knp jadi begini makin parah grab ambil potong driver,driver,negatif,1
sangat bagus sangat cocok pergi kmna mana sangat cepat,lainnya,positif,5
lambat,lainnya,negatif,2
terlalu mahal,lainnya,negatif,5
aplikasi bagus iklan jangan nyusahin dong,aplikasi,positif,3
