text,score
"bintang 3 dulu,yang jadi pertanyaan saya adalah kenapa aplikasi nya pas baru mau download ditulis aplikasi serupa mungkin tidak berfungsi di perangkat Anda, mohon di cek yah",3
"grab knp jahat sm cewe aku, jangan lah kayak gitu",1
"babi, aplikasi grab merchant mu susah dipake",1
bagus aplikasi ini membantu semua orng,5
pengemudi di apk sering tidak bergerak dan tidak ada respon saat dichat,3
nice,5
mantabbbb,5
bagus,5
overall bagus cuman kalau untuk daerah pinggiran suka nge lag apknya,3
sgt cepat pengantaran nya. sukses selalu grab,5
"awalnya bakal 12 menit lama lama jadi 22 menit, di tanya ga jawab jawab ,, ngeselin tau",1
tetbaik,5
masih digunakan untuk antar jemput online,5
ok,5
ok,5
masa aku pesen gojek mapsnya ga keliatan pengantaranya,3
"Grab menipu Driver & Presiden RI ! Harusnya pembagian 92% untuk driver dihitung dari tarif dasar minimum yang pernah ditetapkan pemerintah yaitu Rp 13.000, JADI SETIAP ORDERAN JARAK MINIMUM (4 km kebawah) NOMINAL PEMBAGIAN UNTUK DRIVER ADALAH 92% dari Rp 13.000 = Rp 11.960, BUKAN Rp 10.200 SEPERTI SEKARANG, berarti ada 3 kali potongan : - Potongan 8% dari Rp 13.000 - Potongan Rp 1.760 per orderan - Potongan 8% lagi untuk orderan hemat. Pasti akan ada reaksi keras dari Driver & Pemerintah !",1
"bagus,tidak usah cape² pergi ke tempat makan,langsung grab aja",4
mantap,5
okay,5
ok,5
udh pelit promo banget. beda dengan sebelah,1
baguslah,5
mntap,5
aplikasi yg sudah banyak membantu... cs nya juga cepat tanggap dan sangat ramah,5
"Nyaman perjalanannya, dll",5
solusi terbaik,5
ini aplikasi berguna banget kalo tengah malam laper bisa pakek aplikasi ini terus promo nya sangat membantu jika uang tidak cukup,5
Motor gojek Mobil gojek,5
"kenapa yaa setiap saya pesan motor dapatnya daerah jauh aja,disitu"" trs titiknya.kalau d lihat jrak memang dekat tpi harus memutar nyebrang lewat jembata karena kendaraannya di sebrang sungai... jarak penjemputan malah lbih jauh dri jarak yg dituju. sering kena cancel pengemudi...",3
baik,5
kecewa banget pokoknya,1
good apk,5
sangat membantu,4
pengantaran sampai lebih cepat dari jam yang ditentukan 👍,5
bagus,5
pelayanan cepat,5
sangat sangat baik,5
"URUSIN MITRA MITRA LO YANG BENER, WOI. SEKARANG NYARI DRIVER SUSAH, SEKALINYA DAPET, UDAH NUNGGU LAMA, DRIVER BISA SEENAKNYA CANCEL. LO PIKIR USER LO SEMUANYA PENGANGGURAN YANG GA PEDULI AMA WAKTU ? KALO GA BISA JAGA HUBUNGAN MITRA-USER, EOS AJA SONO.",2
mohon pada riwayat diberi keterangan Nomor plat kendaraan dan nama drivernya. jadi tidak hanya tujuan asal - tujuan akhir dan harganya & tanggal.,4
Aplikasi grab sangat membantu dan sangat bermanfaat untuk semua masyarakat indonesia yang menggunakannya.,5
Alhamdulillah ramah Abang nya,5
oke mantap,5
"jangan bikin double orderan di grabfood, jadinya menunggu terlalu lama, bikin orang/customer marah-marah dan sering beri bintang 1 atau 2",1
jelek bgt susah di buka aplikasi nya kadang,1
lumayan bagus,3
baik,5
good,5
"ada salah satu driver grab luxury dengan kendaraan maxus bernama madang kuswara,saya tidak merecomendasikanya, karna sikapnya yang arogan,dan menurut saya tidak layak menjadi driver luxury,ada case dimana saya sangat kesal sekali dengan driver tersebut, tolong pihak grab segera menindak lanjuti driver tersebut",1
"Aplikasi Maxim di Nabire sangat Buruk,,, Teman2 yg di Nabire, Jangan mau menggunakan Jasa Aplikasi Maxim,, Driver nya suka menolak Orderan dan suka Ngechat untuk naikin harga Orderan 3 kali lipat baru mau terima Orderan... Di aplikasi 55.000, tapi sama Driver nya meminta 150.000 baru mau Menjemput... Driver Maxim di Nabire keterlaluan Parah. mohon Teman2 Jangan mau naik naik Maxim di Nabire",5
Ngambil potong gede ke driver kecil ... driver cuma dpt 10400 potongan 20 persen dari driver jadi driver dapat 8 RB terus kalau dapat 10 order degan Argo tiap order 10 rb jadi 10 rb kali 10trip dapat 100rb di potong 20 persen terus di potong lag kalau ikut hemat 20 rb per 20 order dan seterusnya parah ini makin kesini makin parah terus driver dpt apa . motor punya sendiri oli ban ganti sendiri bayar STNK bayar pajak sendiri knp jadi begini MAKIN PARAH GRAB AMBIL POTONGAN DARI DRIVER 34500,1
sangat bagus sangat cocok untuk pergi kmna mana dan sangat cepat,5
lambat,2
terlalu mahal,5
sangat membantu 👍👍👍,5
bagus,5
bagus,5
sangat membantu,5
aplikasinya bagus tapi iklannya jangan nyusahin dong!,3
"Grabb bike hemat bulan Juni jarak 1 km dari rumah ke st cikampek rp 5000 sekarang bulan Juli jadi Rp 9.700, ko berubah ya, ko ngga konsisten ya jadi kecewa",1
alhamdulillah Grab makin baik,4
mantab,5
kok diskon dia lebih diskon? hehehe 76x,5
tx u pengantaran cepat...,5
alhamdulillah sangat membantu,5
sangan membantu,5
dtg cepat otw cepat,5
sangat mudah digunakan dan sangat membantu sekali,5
OK,5
BAYAR MAHAL MAHAL DAPATNYA KENDARAAN LISTRIK SEMPIT BUAT DUDUK PEGAL PEGAL ..,1
sangat membantu,3
nyaman ramah dan puas sekali,5
saya sya sangat puas,5
oke,3
"suka2 pencet sendiri aplikasi ini,padahal penumpang blom naik udah di ubah keturunkan",1
"mau buka grab food susah. mau pesen grab ride ngelag padahal buka aplikasi lain lancar "" aja. dan paling parahnya dulu selalu hemat dan enak buat kemana"" apalagi buat saya pribadi yang tidak memliki sebuah motor dan mengandalkan ojek online grab ini. tetapi kali ini saya benar "" kecewa selain aplikasi nya yang tiba"" lemot lelet dan banyak error serta bug nya, ini paling parah promo nya yang selalu 6.500 jadi hilang dan menjadi 12.000 kadang 9.000 meskipun dekat. ini benar"" bikin pengeluaran lbih",1
driver yg baik.,5
apaan ini login aja ribet mau buru2 aja susah jadinya,1
terlalu mahal,4
gk suka sm sekali. driver sm aplikasinya,1
top,5
Metode pembayaran langganan ribet,2
bercandaa,5
"aplikasinya lelet dan lama orderan di gabung""",1
bike hemat itu lumayan bagus cuma 7 ribu setiap hari nya,5
sangat baik,5
"cepat, ramah dan sopan",5
ok,5
mantap,5
Grab sangat membantu perjalanan masyarakat,5
sangat baik,5
"kurir busuk, gw mesan paket instan lewat shopee gk di pick up. ada 5 kurir ngambil eh gjd ngambil eh gjd, niat kerja gk sih. gw nunggu dr jam 11 siang sampe jam 7 gk dipick up². nih gw kasih plat² nomornya mau gk ?",1
mantap,5
👍,5
bisa nga sih kalo food itu di batesin kadang 1 orang nganter 3 titik kalo kita dapet yang terakhir ya udah keburu nga enak makanan nya. kita biar dapet yang anget malah dapet yang adem hampir 1 jam kadang baru sampe haduh haduh. prioritas juga kadang sama nya,1
ko di dominos pizza nggak ada papi uno,5
APLIKASI TERJELEK SEPANJNAG MASA,1
grab andalan transportku,5
Nice,5
ok sangat membantu,5
suka bgt naik grab nyaman..sehat terus buat bg supir ya😁,5
"apk jelek, busuk, mahal, tergajelas, driver ga sopan, semuanya buruk",1
bagus,5
